eco,name,urlName,pgn,mdx
A00,Hungarian Opening: Slav Formation,hungarian-opening-slav-formation,1. g3 d5 2. Bg2 c6,
A00,Hungarian Opening: Symmetrical Variation,hungarian-opening-symmetrical-variation,1. g3 g6,
A00,Hungarian Opening: Van Kuijk Gambit,hungarian-opening-van-kuijk-gambit,1. g3 h5 2. Nf3 h4,
A00,Hungarian Opening: Winterberg Gambit,hungarian-opening-winterberg-gambit,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,
A00,Kádas Opening,kadas-opening,1. h4,
A00,Kádas Opening: Beginner's Trap,kadas-opening-beginners-trap,1. h4 d5 2. Rh3,
A00,Kádas Opening: Koola-Koola Variation,kadas-opening-koola-koola-variation,1. h4 a5,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 c5 2. b4,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 e5 2. d4 exd4 3. c3,
A00,Kádas Opening: Myers Variation,kadas-opening-myers-variation,1. h4 d5 2. d4 c5 3. e4,
A00,Kádas Opening: Schneider Gambit,kadas-opening-schneider-gambit,1. h4 g5,
A00,Kádas Opening: Steinbok Gambit,kadas-opening-steinbok-gambit,1. h4 f5 2. e4 fxe4 3. d3,
A00,Lasker Simul Special,lasker-simul-special,1. g3 h5,
A00,Mieses Opening,mieses-opening,1. d3,
A00,Mieses Opening: Myers Spike Attack,mieses-opening-myers-spike-attack,1. d3 g6 2. g4,
A00,Mieses Opening: Reversed Rat,mieses-opening-reversed-rat,1. d3 e5,
A00,Mieses Opening: Venezolana Variation,mieses-opening-venezolana-variation,1. d3 c5 2. Nc3 Nc6 3. g3,
A00,Polish Opening,polish-opening,1. b4,
A00,Polish Opening: Baltic Defense,polish-opening-baltic-defense,1. b4 d5 2. Bb2 Bf5,
A00,Polish Opening: Birmingham Gambit,polish-opening-birmingham-gambit,1. b4 c5,
A00,Polish Opening: Bugayev Advance Variation,polish-opening-bugayev-advance-variation,1. b4 e5 2. Bb2 f6 3. b5,
A00,Polish Opening: Bugayev Attack,polish-opening-bugayev-attack,1. b4 e5 2. a3,
A00,Polish Opening: Czech Defense,polish-opening-czech-defense,1. b4 e5 2. Bb2 d6,
A00,Polish Opening: Dutch Defense,polish-opening-dutch-defense,1. b4 f5,
A00,Polish Opening: German Defense,polish-opening-german-defense,1. b4 d5 2. Bb2 Qd6,
A00,Polish Opening: Grigorian Variation,polish-opening-grigorian-variation,1. b4 Nc6,
A00,Polish Opening: Karniewski Variation,polish-opening-karniewski-variation,1. b4 Nh6,
A00,Polish Opening: King's Indian Variation,polish-opening-kings-indian-variation,1. b4 Nf6 2. Bb2 g6,
A00,"Polish Opening: King's Indian Variation, Schiffler Attack",polish-opening-kings-indian-variation-schiffler-attack,1. b4 Nf6 2. Bb2 g6 3. e4,
A00,"Polish Opening: King's Indian Variation, Sokolsky Attack",polish-opening-kings-indian-variation-sokolsky-attack,1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4,
A00,Polish Opening: Myers Variation,polish-opening-myers-variation,1. b4 d5 2. Bb2 c6 3. a4,
A00,Polish Opening: Outflank Variation,polish-opening-outflank-variation,1. b4 c6,
A00,Polish Opening: Queen's Indian Variation,polish-opening-queens-indian-variation,1. b4 e6 2. Bb2 Nf6 3. b5 b6,
A00,Polish Opening: Queenside Defense,polish-opening-queenside-defense,1. b4 e6 2. Bb2 Nf6 3. b5 a6,
A00,Polish Opening: Rooks Swap Line,polish-opening-rooks-swap-line,1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1,
A00,Polish Opening: Schiffler-Sokolsky Variation,polish-opening-schiffler-sokolsky-variation,1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3,
A00,Polish Opening: Schuehler Gambit,polish-opening-schuehler-gambit,1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4,
A00,Polish Opening: Symmetrical Variation,polish-opening-symmetrical-variation,1. b4 b5,
A00,Polish Opening: Tartakower Gambit,polish-opening-tartakower-gambit,1. b4 e5 2. Bb2 f6 3. e4,
A00,Polish Opening: Wolferts Gambit,polish-opening-wolferts-gambit,1. b4 e5 2. Bb2 c5,
A00,Saragossa Opening,saragossa-opening,1. c3,
A00,Sodium Attack,sodium-attack,1. Na3,
A00,Sodium Attack: Celadon Variation,sodium-attack-celadon-variation,1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1,
A00,Sodium Attack: Chenoboskion Variation,sodium-attack-chenoboskion-variation,1. Na3 g6 2. g4,
A00,Sodium Attack: Durkin Gambit,sodium-attack-durkin-gambit,1. Na3 e5 2. Nc4 Nc6 3. e4 f5,
A00,Valencia Opening,valencia-opening,1. d3 e5 2. Nd2,
A00,Van Geet Opening,van-geet-opening,1. Nc3,
A00,Van Geet Opening: Battambang Variation,van-geet-opening-battambang-variation,1. a3 e5 2. Nc3,
A00,Van Geet Opening: Billockus-Johansen Gambit,van-geet-opening-billockus-johansen-gambit,1. Nc3 e5 2. Nf3 Bc5,
A00,Van Geet Opening: Damhaug Gambit,van-geet-opening-damhaug-gambit,1. Nc3 d5 2. f4 e5,
A00,Van Geet Opening: Dougherty Gambit,van-geet-opening-dougherty-gambit,1. Nc3 d5 2. e4 dxe4 3. f3,
A00,Van Geet Opening: Dunst-Perrenet Gambit,van-geet-opening-dunst-perrenet-gambit,1. Nc3 d5 2. e4 dxe4 3. d3,
A00,Van Geet Opening: Düsseldorf Gambit,van-geet-opening-dusseldorf-gambit,1. Nc3 c5 2. b4,
A00,Van Geet Opening: Gladbacher Gambit,van-geet-opening-gladbacher-gambit,1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3,
A00,Van Geet Opening: Hector Gambit,van-geet-opening-hector-gambit,1. Nc3 d5 2. e4 dxe4 3. Bc4,
A00,Van Geet Opening: Hergert Gambit,van-geet-opening-hergert-gambit,1. Nc3 d6 2. f4 e5 3. fxe5 Nc6,
A00,Van Geet Opening: Hulsemann Gambit,van-geet-opening-hulsemann-gambit,1. Nc3 e5 2. e3 d5 3. Qh5 Be6,
A00,Van Geet Opening: Jendrossek Gambit,van-geet-opening-jendrossek-gambit,1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4,
A00,Van Geet Opening: Kluever Gambit,van-geet-opening-kluever-gambit,1. Nc3 f5 2. e4 fxe4 3. d3,
A00,Van Geet Opening: Laroche Gambit,van-geet-opening-laroche-gambit,1. Nc3 b5,
A00,Van Geet Opening: Liebig Gambit,van-geet-opening-liebig-gambit,1. Nc3 e5 2. e3 d5 3. Qh5 Nf6,
A00,Van Geet Opening: Melleby Gambit,van-geet-opening-melleby-gambit,1. Nc3 d5 2. f4 d4 3. Ne4 c5,
A00,Van Geet Opening: Myers Attack,van-geet-opening-myers-attack,1. Nc3 g6 2. h4,
A00,Van Geet Opening: Napoleon Attack,van-geet-opening-napoleon-attack,1. Nc3 e5 2. Nf3 Nc6 3. d4,
A00,Van Geet Opening: Novosibirsk Variation,van-geet-opening-novosibirsk-variation,1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4,
A00,Van Geet Opening: Nowokunski Gambit,van-geet-opening-nowokunski-gambit,1. Nc3 e5 2. f4 exf4 3. e4,
A00,Van Geet Opening: Pfeiffer Gambit,van-geet-opening-pfeiffer-gambit,1. Nc3 d5 2. f4 d4 3. Ne4 e5,
A00,"Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit",van-geet-opening-pfeiffer-gambit-sleipnir-countergambit,1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3,
A00,Van Geet Opening: Reversed Nimzowitsch,van-geet-opening-reversed-nimzowitsch,1. Nc3 e5,
A00,Van Geet Opening: Reversed Scandinavian,van-geet-opening-reversed-scandinavian,1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4,
A00,Van Geet Opening: Sicilian Two Knights,van-geet-opening-sicilian-two-knights,1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4,
A00,Van Geet Opening: Sleipnir Gambit,van-geet-opening-sleipnir-gambit,1. Nc3 d5 2. e3 e5 3. d4 Bb4,
A00,Van Geet Opening: Twyble Attack,van-geet-opening-twyble-attack,1. Nc3 c5 2. Rb1,
A00,Van Geet Opening: Tübingen Gambit,van-geet-opening-tubingen-gambit,1. Nc3 Nf6 2. g4,
A00,Van Geet Opening: Venezolana Variation,van-geet-opening-venezolana-variation,1. Nc3 d5 2. d3 Nf6 3. g3,
A00,Van Geet Opening: Warsteiner Gambit,van-geet-opening-warsteiner-gambit,1. Nc3 d5 2. f4 g5,
A00,Van't Kruijs Opening,vant-kruijs-opening,1. e3,
A00,Van't Kruijs Opening: Bouncing Bishop Variation,vant-kruijs-opening-bouncing-bishop-variation,1. e3 e5 2. Bc4 b5 3. Bb3,
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation",vant-kruijs-opening-keoni-hiva-gambit-akahi-variation,1. e3 e5 2. Nc3 Nf6 3. f4 exf4 4. Nf3,
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation",vant-kruijs-opening-keoni-hiva-gambit-alua-variation,1. e3 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3,
A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation",vant-kruijs-opening-keoni-hiva-gambit-ekolu-variation,1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3,
A00,Ware Opening,ware-opening,1. a4,mdx/ware-opening.mdx
A00,Ware Opening: Cologne Gambit,ware-opening-cologne-gambit,1. a4 b6 2. d4 d5 3. Nc3 Nd7,
A00,Ware Opening: Crab Variation,ware-opening-crab-variation,1. a4 e5 2. h4,
A00,Ware Opening: Meadow Hay Trap,ware-opening-meadow-hay-trap,1. a4 e5 2. Ra3,
A00,Ware Opening: Symmetric Variation,ware-opening-symmetric-variation,1. a4 a5,
A00,Ware Opening: Ware Gambit,ware-opening-ware-gambit,1. a4 e5 2. a5 d5 3. e3 f5 4. a6,
A00,Ware Opening: Wing Gambit,ware-opening-wing-gambit,1. a4 b5 2. axb5 Bb7,
A01,Nimzo-Larsen Attack,nimzo-larsen-attack,1. b3,
A01,Nimzo-Larsen Attack: Classical Variation,nimzo-larsen-attack-classical-variation,1. b3 d5,
A01,Nimzo-Larsen Attack: Dutch Variation,nimzo-larsen-attack-dutch-variation,1. b3 f5,
A01,Nimzo-Larsen Attack: English Variation,nimzo-larsen-attack-english-variation,1. b3 c5,
A01,Nimzo-Larsen Attack: Graz Attack,nimzo-larsen-attack-graz-attack,1. b3 d5 2. Ba3,
A01,Nimzo-Larsen Attack: Indian Variation,nimzo-larsen-attack-indian-variation,1. b3 Nf6,
A01,Nimzo-Larsen Attack: Modern Variation,nimzo-larsen-attack-modern-variation,1. b3 e5,
A01,Nimzo-Larsen Attack: Modern Variation,nimzo-larsen-attack-modern-variation,1. b3 e5 2. Bb2 Nc6,
A01,Nimzo-Larsen Attack: Modern Variation,nimzo-larsen-attack-modern-variation,1. b3 e5 2. Bb2 Nc6 3. e3,
A01,Nimzo-Larsen Attack: Modern Variation,nimzo-larsen-attack-modern-variation,1. b3 e5 2. Bb2 Nc6 3. c4 Nf6,
A01,Nimzo-Larsen Attack: Pachman Gambit,nimzo-larsen-attack-pachman-gambit,1. b3 e5 2. Bb2 Nc6 3. f4,
A01,Nimzo-Larsen Attack: Polish Variation,nimzo-larsen-attack-polish-variation,1. b3 b5,
A01,Nimzo-Larsen Attack: Ringelbach Gambit,nimzo-larsen-attack-ringelbach-gambit,1. b3 f5 2. Bb2 e6 3. e4,
A01,Nimzo-Larsen Attack: Spike Variation,nimzo-larsen-attack-spike-variation,1. b3 Nf6 2. Bb2 g6 3. g4,
A01,Nimzo-Larsen Attack: Symmetrical Variation,nimzo-larsen-attack-symmetrical-variation,1. b3 b6,
A02,Bird Opening,bird-opening,1. f4,
A02,Bird Opening: Batavo-Polish Attack,bird-opening-batavo-polish-attack,1. f4 Nf6 2. Nf3 g6 3. b4,
A02,Bird Opening: Double Duck Formation,bird-opening-double-duck-formation,1. f4 f5 2. d4 d5,
A02,Bird Opening: From's Gambit,bird-opening-froms-gambit,1. f4 e5,
A02,"Bird Opening: From's Gambit, Bahr Gambit",bird-opening-froms-gambit-bahr-gambit,1. f4 e5 2. Nc3,
A02,"Bird Opening: From's Gambit, Langheld Gambit",bird-opening-froms-gambit-langheld-gambit,1. f4 e5 2. fxe5 d6 3. exd6 Nf6,
A02,"Bird Opening: From's Gambit, Lasker Variation",bird-opening-froms-gambit-lasker-variation,1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5,
